<6> 12.12.2017 12:13:09 Section=GENERAL, Key=LIGHTOFFTIME, Value=10, data=SPGENERAL.LIGHTOFFTIME=10
<6> 12.12.2017 12:14:19 Section=GENERAL, Key=LIGHTOFFTIME, Value=0, data=SPGENERAL.LIGHTOFFTIME=0
<6> 12.12.2017 12:14:22 Section=GENERAL, Key=LIGHTOFFTIME, Value=10, data=SPGENERAL.LIGHTOFFTIME=10
<6> 12.12.2017 14:24:13 Section=GENERAL, Key=LIGHTOFFTIME, Value=0, data=SPGENERAL.LIGHTOFFTIME=0
<6> 10.04.2018 10:46:11 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 13.06.2018 15:15:37 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 17.07.2018 17:29:11 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 17.07.2018 17:30:57 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 19.07.2018 14:46:40 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 23.07.2018 10:11:28 Section=GENERAL, Key=LANGUAGE, Value=7, data=SPGENERAL.LANGUAGE=7
<6> 23.07.2018 10:13:41 Section=GENERAL, Key=LANGUAGE, Value=11, data=SPGENERAL.LANGUAGE=11
<6> 23.07.2018 10:59:43 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 23.07.2018 10:59:43 Section=GENERAL, Key=LANGUAGE, Value=11, data=SPGENERAL.LANGUAGE=11
<6> 23.07.2018 10:59:50 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 20.02.2019 15:17:49 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 20.02.2019 15:17:51 Section=GENERAL, Key=LANGUAGE, Value=15, data=SPGENERAL.LANGUAGE=15
<6> 20.02.2019 15:30:40 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 15.03.2019 16:42:34 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 19.08.2019 17:40:54 Section=GENERAL, Key=LIGHTOFFTIME, Value=20, data=SPGENERAL.LIGHTOFFTIME=20
<6> 19.08.2019 17:45:39 Section=GENERAL, Key=LIGHTOFFTIME, Value=0, data=SPGENERAL.LIGHTOFFTIME=0
<6> 06.03.2020 10:46:35 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 06.03.2020 11:30:01 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 06.03.2020 12:02:38 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 06.03.2020 12:02:40 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 06.03.2020 12:09:07 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 06.03.2020 13:22:17 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 06.03.2020 13:24:41 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 06.03.2020 13:33:14 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 06.03.2020 13:46:18 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 06.03.2020 15:34:17 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 26.03.2020 13:02:49 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 26.03.2020 13:03:50 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 26.03.2020 13:04:48 Section=GENERAL, Key=LANGUAGE, Value=15, data=SPGENERAL.LANGUAGE=15
<6> 26.03.2020 13:04:48 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 26.03.2020 13:04:50 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 26.03.2020 13:04:50 Section=GENERAL, Key=LANGUAGE, Value=15, data=SPGENERAL.LANGUAGE=15
<6> 26.03.2020 13:04:51 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 09.06.2020 12:42:50 Section=GENERAL, Key=LANGUAGE, Value=2, data=SPGENERAL.LANGUAGE=2
<6> 09.06.2020 12:42:50 Section=GENERAL, Key=LIGHTOFFTIME, Value=11, data=SPGENERAL.LIGHTOFFTIME=11
<6> 09.06.2020 12:44:53 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 09.06.2020 12:44:53 Section=GENERAL, Key=LANGUAGE, Value=2, data=SPGENERAL.LANGUAGE=2
<6> 09.06.2020 12:44:53 Section=GENERAL, Key=LIGHTOFFTIME, Value=0, data=SPGENERAL.LIGHTOFFTIME=0
